P_avg_per_m_sec_scaled,index
-0.3751022638293654,830.2024-02-01
-0.5335205842064142,830.2024-03-01
-0.4822041438508138,830.2024-04-01
-0.4824352989875507,830.2024-05-01
-0.5216289366165028,832.2023-12-01
-0.5663959814312234,832.2024-01-01
-0.3967794788744739,832.2024-02-01
-0.42456946309107035,832.2024-03-01
-0.4439351267688095,832.2024-04-01
-0.339889631333105,832.2024-05-01
-1.2474560659704912,859.2023-12-01
-1.4344348876865929,859.2024-01-01
-1.445735805482621,859.2024-02-01
-0.833791106827698,859.2024-03-01
-1.330697599099871,859.2024-04-01
-1.3386852932693365,859.2024-05-01
0.7612050205612628,885.2023-12-01
0.8100044383168389,885.2024-01-01
0.8780667841338264,885.2024-02-01
0.9586115073346088,885.2024-03-01
0.939168791944624,885.2024-04-01
0.9989866045513275,885.2024-05-01
